metagene,log2foldchange_M,q-value_M
EC:1.14.14.1,-0.098753643954559,1
EC:1.14.14.12,-0.9326404959052534,1
EC:1.14.14.5,0.0105203499908984,1
EC:1.14.14.9,-0.2295282510839354,1
EC:1.14.15.11,-0.1200703937762496,1
EC:1.14.15.13,-0.1809902413516809,1
EC:1.14.15.3,-0.2976500892426621,1
EC:1.14.15.7,0.0073126986259619,1
EC:1.14.16.1,0.0676512434897839,1
EC:1.14.18.1,-0.1493090140372803,1
EC:1.14.19.1,-0.7623771455815573,1
EC:1.14.19.2,-0.7609363967755705,1
EC:1.14.19.3,0.1723944410767851,1
EC:1.14.19.9,0.0474527614705717,1
EC:1.14.21.7,-0.181586205932088,1
EC:1.14.99.44,0.021631747481226,1
EC:1.14.99.46,0.9068443995499452,1
EC:1.14.99.48,-0.1137432371409534,1
EC:1.14.99.50,-0.740421187774678,1
EC:1.15.1.1,-0.1606447384523329,1
EC:1.15.1.2,-0.0544474952859165,1
EC:1.16.1.1,-0.1624949173297635,1
EC:1.16.1.3,0.5919687143127824,1
EC:1.16.1.9,0.5961571425175296,1
EC:1.16.3.1,0.1594769707187874,1
EC:1.16.3.2,-0.3490905233039351,1
EC:1.17.1.1,-0.5768550651160329,1
EC:1.17.1.2,0.3235566789470507,1
EC:1.17.1.4,-0.2979545022244139,1
EC:1.17.1.8,0.0468183164365169,1
EC:1.17.4.1,-0.0843719032358167,1
EC:1.17.4.2,0.0656869312328345,1
EC:1.17.7.1,0.3549580792519122,1
EC:1.17.7.3,0.3549565607961115,1
EC:1.17.99.6,-0.3356089997018304,1
EC:1.18.1.1,0.2525796420260174,1
EC:1.18.1.2,0.6173419874010957,1
EC:1.18.1.3,-0.2649980905199791,1
EC:1.18.6.1,0.1049300376347023,1
EC:1.2.1.10,0.1498641104057717,1
EC:1.2.1.11,0.0632701561750253,1
EC:1.2.1.12,0.0714844454804745,1
EC:1.2.1.16,0.0608733827782971,1
EC:1.2.1.18,-0.1830647777605815,1
EC:1.2.1.19,0.449094546506739,1
EC:1.2.1.2,0.3391247948339326,1
EC:1.2.1.20,0.0435623190401088,1
EC:1.2.1.21,0.0167125207116774,1
EC:1.2.1.22,0.0167970243790843,1
EC:1.2.1.24,0.6238325430480658,1
EC:1.2.1.27,-0.1485804833468832,1
EC:1.2.1.28,-0.430335532199991,1
EC:1.2.1.3,-0.2912947194398732,1
EC:1.2.1.38,-0.0196263406984914,1
EC:1.2.1.39,0.3959006379688086,1
EC:1.2.1.4,-0.6877815355626729,1
EC:1.2.1.41,0.219733490003636,1
EC:1.2.1.43,0.1329764232761059,1
EC:1.2.1.46,-0.7387368854859322,1
EC:1.2.1.58,0.1873821481730055,1
EC:1.2.1.60,0.4909361531960022,1
EC:1.2.1.68,0.3762638755295976,1
EC:1.2.1.70,-0.4578370769299547,1
EC:1.2.1.71,0.5890151316262946,1
EC:1.2.1.72,0.6366078104114266,1
EC:1.2.1.76,0.6696332201601691,1
EC:1.2.1.79,0.0444268475146647,1
EC:1.2.1.8,-0.6248663191464581,1
EC:1.2.1.81,0.4901898480862016,1
EC:1.2.1.87,0.0098645578449387,1
EC:1.2.1.88,-0.8147008727326241,1
EC:1.2.1.9,-0.0831260885417472,1
EC:1.2.1.91,-0.0057060441061528,1
EC:1.2.3.3,-0.1641999963021494,1
EC:1.2.4.1,-0.2512129201417765,1
EC:1.2.4.2,-0.68193148468409,1
EC:1.2.4.4,-0.5683426957851954,1
EC:1.2.5.1,0.0104689442897429,1
EC:1.2.7.1,0.5572097306922414,1
EC:1.2.7.11,-0.8015831536901898,1
EC:1.2.7.3,-0.7231016074028758,1
EC:1.2.7.4,-0.0600732939485445,1
EC:1.2.7.5,-0.9053459212387602,1
EC:1.2.7.8,-0.3460621458463216,1
EC:1.2.98.1,-0.5918629693241297,1
EC:1.2.99.2,0.2278231204687442,1
EC:1.2.99.5,0.1913312273448675,1
EC:1.2.99.7,0.143065387460154,1
