id,(Intercept),Patient_SexM
EC:5.3.99.10,0.5579155445701948,0.6883948349230513
EC:5.3.99.11,0.4255106029555488,0.5772867624509036
EC:5.4.1.3,0.4493182401727512,0.585987752669761
EC:5.4.2.10,0.18107285569970516,0.25235842660212376
EC:5.4.2.11,0.26815417639828293,0.36186104697263943
EC:5.4.2.12,0.174889464884753,0.2580550956711728
EC:5.4.2.2,0.17267437462715096,0.24598684401611162
EC:5.4.2.6,0.2650100341817868,0.3923456421606776
EC:5.4.2.7,0.19383443200162187,0.267599488250762
EC:5.4.2.8,0.27111691320398196,0.3540477097689402
EC:5.4.2.9,0.4389558491214836,0.595740510945223
EC:5.4.3.2,0.34811854088593047,0.48410375875188366
EC:5.4.3.3,0.40981304985500494,0.55209031983228
EC:5.4.3.5,0.4069237479538714,0.594175244318937
EC:5.4.3.8,0.23602465770960931,0.32189943838602836
EC:5.4.4.2,0.265513498660066,0.3500849531724395
EC:5.4.99.1,0.31653273949744387,0.4524210036382895
EC:5.4.99.12,0.15476925177262732,0.2338532546000522
EC:5.4.99.15,0.3442423575549051,0.47932212884056286
EC:5.4.99.16,0.2991687905947553,0.44293171156159683
EC:5.4.99.17,0.37871947971375,0.488339951233835
EC:5.4.99.18,0.17414694217033055,0.24415413010650663
EC:5.4.99.19,0.17469098251222911,0.24873430978089933
EC:5.4.99.2,0.26525585577668226,0.38166096674450967
EC:5.4.99.20,0.3560986038462597,0.4889377840445669
EC:5.4.99.21,0.2970120408453997,0.4105933134779514
EC:5.4.99.22,0.21323892224623445,0.29784092306763527
EC:5.4.99.23,0.18308544199795534,0.2650063488339156
EC:5.4.99.24,0.2850220690766055,0.3802050441621721
EC:5.4.99.25,0.17231557795140318,0.24457404505763827
EC:5.4.99.26,0.41042513554999255,0.5693282080145461
EC:5.4.99.27,0.3793821520835049,0.5429591613373347
EC:5.4.99.28,0.2510895397500642,0.35309368406160196
EC:5.4.99.29,0.2510895397500642,0.35309368406160196
EC:5.4.99.5,0.18095002319149292,0.25683258923457414
EC:5.4.99.60,0.236755462996023,0.3642284131410591
EC:5.4.99.61,0.23724587769665792,0.36474237577366675
EC:5.4.99.62,0.2081512522432121,0.3047572757462322
EC:5.4.99.9,0.1793613650419121,0.29231925642640655
EC:5.5.1.1,0.37973449069400106,0.5192026836651038
EC:5.5.1.19,0.30565775304101683,0.4228745071038733
EC:5.5.1.2,0.3336180836910245,0.4422952674061161
EC:5.5.1.4,0.3319486067920608,0.478852258099388
EC:5.99.1.2,0.15812084066160637,0.23417829641072338
EC:5.99.1.3,0.1569181286521687,0.2326595846270604
EC:6.1.1.1,0.17172131245710592,0.24290956774245406
EC:6.1.1.10,0.17067796367895588,0.24391225979854428
EC:6.1.1.11,0.17213073095583295,0.24455503181313806
EC:6.1.1.12,0.17132264623992582,0.24349242619107264
EC:6.1.1.13,0.2721131289563273,0.369702243516307
EC:6.1.1.14,0.1784970466209833,0.2568651485305898
EC:6.1.1.15,0.16981866488411407,0.24457763527586124
