metagene,log2foldchange_After abduction,q-value_After abduction,enzyme_class
EC:1.21.4.1,-2.5270162493071235,8.849340741182567e-05,Oxidoreductases
EC:1.21.4.2,-1.7136909858857,0.0288932661002346,Oxidoreductases
EC:1.21.4.4,-2.774857205784285,4.043710110967981e-06,Oxidoreductases
EC:1.3.1.106,-1.649962099072491,0.0131039436287918,Oxidoreductases
EC:1.3.1.31,-2.1863561520150028,0.0307686404293987,Oxidoreductases
EC:1.3.1.44,-2.505512894093057,0.00035639464099337383,Oxidoreductases
EC:1.3.1.54,-1.7541714697618112,0.0021626568438183,Oxidoreductases
EC:1.3.8.1,-2.290268337504402,7.924028575954726e-05,Oxidoreductases
EC:1.4.1.16,-1.968150602157192,0.0006398412696133881,Oxidoreductases
EC:1.4.1.3,-1.8309356433185324,0.0052261809197622,Oxidoreductases
EC:1.4.3.16,-1.8589683073138936,1.919416025356211e-06,Oxidoreductases
EC:1.4.7.1,-2.694762889633793,2.6997969532646717e-10,Oxidoreductases
EC:1.5.1.7,-2.216338705729933,0.0004674209094996987,Oxidoreductases
EC:1.7.7.1,-2.2529570446700538,0.00016996265461517078,Oxidoreductases
EC:1.7.99.1,-1.755402615546135,6.662457976741296e-05,Oxidoreductases
EC:1.8.98.1,-3.1690477569073545,3.856024827611898e-06,Oxidoreductases
EC:1.97.1.9,-1.7963268255584055,0.0006014275616076754,Oxidoreductases
EC:2.1.1.13,-1.721629808832593,2.4877555502514752e-06,Transferases
EC:2.1.1.130,-1.9069451361785528,2.9857173334745543e-05,Transferases
EC:2.1.1.131,-2.0181301289936355,1.0893862839660967e-05,Transferases
EC:2.1.1.132,-2.1175478114061046,2.8937757755823452e-05,Transferases
EC:2.1.1.133,-2.09939238664184,1.91022324832043e-06,Transferases
EC:2.1.1.148,-1.854719293762027,0.0360933243682603,Transferases
EC:2.1.1.151,-2.159966032494684,5.068791654478171e-06,Transferases
EC:2.1.1.195,-1.984513800791929,0.00011119724443860644,Transferases
EC:2.1.1.223,-1.6981180883255926,0.0135750222295947,Transferases
EC:2.1.1.245,-3.23327028390651,5.290205539025667e-09,Transferases
EC:2.1.1.246,-2.962278873576365,0.0002566647771458949,Transferases
EC:2.1.1.250,-2.7822201576318872,0.0076092216052304,Transferases
EC:2.1.1.258,-3.1726727880476644,3.569574622766425e-09,Transferases
EC:2.1.1.271,-2.0211653685549957,8.567526351862389e-06,Transferases
EC:2.3.1.169,-3.171642640636226,3.778722599545202e-09,Transferases
EC:2.3.3.14,-2.302575273640785,0.0242095898996567,Transferases
EC:2.4.1.211,-3.016619496686342,5.5202106245593015e-08,Transferases
EC:2.4.1.25,-1.3953287122858122,0.000985150318612793,Transferases
EC:2.4.1.4,-3.0234410652590635,1.6093098129507428e-06,Transferases
EC:2.4.1.5,-3.84689437059475,1.741138377328433e-07,Transferases
EC:2.4.2.19,-1.8622981274801136,8.578107170217471e-07,Transferases
EC:2.4.2.21,-1.632209933497665,0.0004522541304785986,Transferases
EC:2.4.2.53,-2.1362143713387227,0.0051743910287656,Transferases
EC:2.5.1.105,-2.584345430420916,2.195986212829609e-07,Transferases
EC:2.5.1.16,-1.4392176666609275,0.0009251423703914196,Transferases
EC:2.5.1.17,-1.2987073969205871,0.0113523816884982,Transferases
EC:2.5.1.49,-1.243541906089197,0.0268963795803902,Transferases
EC:2.5.1.72,-1.894614644268946,7.981841013930028e-07,Transferases
EC:2.6.1.1,-1.605660035318944,0.000364573561241886,Transferases
EC:2.6.1.17,-1.9029584201389211,1.9527666820109913e-08,Transferases
EC:2.6.1.59,-1.97533693090402,0.0118181441655423,Transferases
EC:2.6.1.83,-2.1787562314757305,2.6239695023839124e-05,Transferases
EC:2.7.1.156,-1.7366472747492434,0.00011503580475895064,Transferases
EC:2.7.1.51,-2.4099440659192037,1.9194929101634874e-06,Transferases
EC:2.7.1.83,-1.9417737875120376,0.0190303168119285,Transferases
EC:2.7.7.1,-2.4640760687027488,0.0023927446257532,Transferases
EC:2.7.7.62,-1.750643217772851,8.56400571362941e-05,Transferases
EC:2.7.7.76,-1.9170348385756053,0.0002012278045095508,Transferases
EC:2.7.8.26,-1.6723897112098638,0.0002645107490115375,Transferases
EC:2.7.8.41,-1.920155096490903,0.0129123137332639,Transferases
EC:2.7.8.6,-2.3026698727095463,0.0023516219627594,Transferases
EC:2.7.8.8,-1.653410933087239,1.3017118887293687e-05,Transferases
EC:2.7.9.3,-1.5848671939803345,0.0001277446709485866,Transferases
EC:2.8.3.1,-2.58658260925658,0.0006057447552304744,Transferases
EC:2.8.3.5,-1.864465445802176,0.0047696106220858,Transferases
EC:2.8.4.4,-1.7443788467686328,6.81861367400087e-05,Transferases
EC:3.1.12.1,-1.714408274544346,0.034293747670466,Hydrolases
EC:3.1.3.73,-1.6817496862864978,0.0004806403693944977,Hydrolases
EC:3.1.5.1,-1.6063733631025523,3.5708617005942924e-05,Hydrolases
EC:3.2.1.25,-1.9492971859342227,0.0030906034785755,Hydrolases
EC:3.2.1.35,-2.739080363803787,0.0027602008457499,Hydrolases
EC:3.2.1.4,-1.6552794996522446,0.008018085840896,Hydrolases
EC:3.4.11.21,-2.4232146009379263,4.520848585252245e-08,Hydrolases
EC:3.4.13.19,-2.136983716002214,4.920592696664549e-07,Hydrolases
EC:3.4.19.11,-2.844724728912384,5.147302590736826e-07,Hydrolases
EC:3.4.21.116,-2.9698819834091514,3.344237695202642e-09,Hydrolases
EC:3.4.21.53,-1.3951224168620953,0.0052889601257722,Hydrolases
EC:3.4.24.78,-2.961789653648492,3.720014996899883e-09,Hydrolases
EC:3.5.1.26,-3.186540743413524,5.317499145114842e-07,Hydrolases
