metagene,log2foldchange_After abduction,q-value_After abduction
K02653,-1.8719980072701,0.0268199963650846
K03293,1.9603622271631744,0.0291528539235574
K03305,1.7294542190147952,0.0021994561513723
K03316,1.7661467984588728,0.0164690319961482
K03322,1.6514441063381402,0.0094440760050361
K03328,2.05290973209698,0.037260437517969
K03388,-2.458934642125541,0.0285720644632787
K03389,-2.5857268336896087,0.0052972788421254
K03390,-2.7248152072298546,0.000997958146584234
K03608,-1.7875047801896755,0.0014425249458025
K03635,2.1959201294288606,0.0035878908471432
K03638,2.0183533250880545,0.0255993150449366
K03660,-2.481556853515269,0.00023674776885763385
K03667,2.016689750977852,0.0261296372869035
K03758,1.9415830404628127,0.0101090249001397
K03885,1.7565279469938655,0.033533328170889
K03893,1.947133237782089,0.0250528773917291
K04028,-1.7399691206823769,0.0397509677040757
K04047,1.6925097175033297,0.0019436333648293
K04070,-2.2582302533532883,0.0035009821275795
K04769,-2.377979576343279,0.000906856894778525
K05340,2.218735167214515,0.0168502774964447
K05341,-2.476591582745765,0.011663475477883
K05364,-2.154938153449177,0.0151881271774462
K05520,1.9650940592594248,0.0095955714958539
K05845,2.017471855987849,0.0020868723054327
K05934,-1.917111727918236,0.0379353801478896
K06012,-2.434990596451023,0.0004425987686780756
K06133,-1.525046286308022,0.0030667983305016
K06179,-1.7072210358041695,0.0109718551862697
K06182,-1.731914643013981,0.0269584627573337
K06283,-2.3628475472742467,0.0022164365328028
K06298,-2.479042731898021,0.0076901394071712
K06333,-2.539515819966283,6.083328320044942e-05
K06334,-2.571298775189515,6.126529249741903e-05
K06373,-2.476239210264314,0.0004911811984330757
K06374,-2.4797572844798945,0.0006376595563201309
K06378,-2.0068032465666263,0.0116002688478427
K06379,-2.4400880103476013,0.0004191665410633168
K06381,-1.900540576598761,0.0089429994771611
K06382,-2.425729042084196,0.0005563865288211342
K06383,-2.4428285251660347,0.0016370271461428
K06385,-2.423580727250214,0.0005684818916582972
K06387,-2.3140107339285296,0.003281708669696
K06390,-2.435024335609832,0.0005102051063426035
K06391,-2.4377570727507547,0.0002249163352914333
K06392,-2.4357562375786195,0.0005042758841799439
K06393,-2.433466394699914,0.0005072164373612232
K06394,-2.489740066269702,0.00025286705110885813
K06395,-2.478130847080095,0.00013305984340020245
K06396,-2.431813093946603,0.0005208393557454603
K06397,-2.436554181960956,0.0004978453020393465
K06398,-2.41763444503034,0.0006095255999827722
K06399,-2.4413085979672147,0.0004150369508539236
K06402,-2.455991782043565,0.0044208979108318
K06403,-2.531233325327102,0.0051443534425549
K06404,-2.5274361554936084,0.0052871805484163
K06405,-2.39288619025832,0.0008329165946479157
K06406,-2.406049968734327,0.0007531219779945985
K06407,-2.417886043840529,0.0006219681815541611
K06408,-2.718367708352645,0.0001964923819979196
K06409,-1.885563044805848,0.009803712514012
K06411,-2.3324564568035715,0.0327922020395952
K06416,-2.488056783461847,0.0002582908762247321
K06436,-2.556111288269243,0.0012374787905249
K06438,-2.592855832024129,8.146435132610885e-05
K06859,-2.929887226722563,0.0005661104732287504
K06890,1.5569240072883397,0.0393805640116805
K06897,-2.0046364844749958,0.015341675256838
K06923,-2.3814284817285327,0.004084454972857
K06928,-2.5255359327105498,0.0276740229759942
