	SubjectID1	SubjectID2	Group1	Group2	Distance
151	EG1524	EG1637	After abduction	After abduction	0.5165289256198347
152	EG1524	EG1572	After abduction	After abduction	0.5615942028985508
153	EG0088	EG2580	After abduction	After abduction	0.41106719367588934
154	EG0088	EG2559	After abduction	After abduction	0.4782608695652174
155	EG0088	EG2473	After abduction	After abduction	0.4
156	EG0088	EG2392	After abduction	After abduction	0.3900414937759336
157	EG0088	EG2391	After abduction	After abduction	0.34946236559139787
158	EG0088	EG2018	After abduction	After abduction	0.4635036496350365
159	EG0088	EG1990	After abduction	After abduction	0.4049079754601227
160	EG0088	EG1940	After abduction	After abduction	0.46402877697841727
161	EG0088	EG0118	After abduction	After abduction	0.2236842105263158
162	EG0088	EG1939	After abduction	After abduction	0.345
163	EG0088	EG1892	After abduction	After abduction	0.40082644628099173
164	EG0088	EG1878	After abduction	After abduction	0.47985347985347987
165	EG0088	EG0101	After abduction	After abduction	0.4693140794223827
166	EG0088	EG1772	After abduction	After abduction	0.4684014869888476
167	EG0088	EG1673	After abduction	After abduction	0.26288659793814434
168	EG0088	EG1637	After abduction	After abduction	0.4291497975708502
169	EG0088	EG1572	After abduction	After abduction	0.4731182795698925
170	EG0088	EG1524	After abduction	After abduction	0.3772455089820359
171	EG1490	EG2580	After abduction	After abduction	0.29615384615384616
172	EG1490	EG2559	After abduction	After abduction	0.3767605633802817
173	EG1490	EG2473	After abduction	After abduction	0.2727272727272727
174	EG1490	EG2392	After abduction	After abduction	0.2631578947368421
175	EG1490	EG2391	After abduction	After abduction	0.2857142857142857
176	EG1490	EG2018	After abduction	After abduction	0.3617021276595745
177	EG1490	EG1990	After abduction	After abduction	0.495
178	EG1490	EG1940	After abduction	After abduction	0.36363636363636365
179	EG1490	EG0118	After abduction	After abduction	0.49029126213592233
180	EG1490	EG1939	After abduction	After abduction	0.3167420814479638
181	EG1490	EG1892	After abduction	After abduction	0.2948207171314741
182	EG1490	EG1878	After abduction	After abduction	0.37142857142857144
183	EG1490	EG0101	After abduction	After abduction	0.3854166666666667
184	EG1490	EG1772	After abduction	After abduction	0.3821428571428571
