	SubjectID1	SubjectID2	Group1	Group2	Distance
231	EG1178	EG2580	After abduction	After abduction	0.2252
232	EG1178	EG2559	After abduction	After abduction	0.2924
233	EG1178	EG2473	After abduction	After abduction	0.1808
234	EG1178	EG2392	After abduction	After abduction	0.2454
235	EG1178	EG2391	After abduction	After abduction	0.4454
236	EG1178	EG2018	After abduction	After abduction	0.2716
237	EG1178	EG1990	After abduction	After abduction	0.5338
238	EG1178	EG1940	After abduction	After abduction	0.1978
239	EG1178	EG0118	After abduction	After abduction	0.448
240	EG1178	EG1939	After abduction	After abduction	0.3294
241	EG1178	EG1892	After abduction	After abduction	0.2704
242	EG1178	EG1878	After abduction	After abduction	0.3544
243	EG1178	EG0101	After abduction	After abduction	0.3262
244	EG1178	EG1772	After abduction	After abduction	0.2726
245	EG1178	EG1673	After abduction	After abduction	0.3028
246	EG1178	EG1637	After abduction	After abduction	0.3912
247	EG1178	EG1572	After abduction	After abduction	0.3804
248	EG1178	EG1524	After abduction	After abduction	0.4966
249	EG1178	EG0088	After abduction	After abduction	0.3676
250	EG1178	EG1490	After abduction	After abduction	0.2082
251	EG1178	EG1431	After abduction	After abduction	0.2408
252	EG1178	EG1416	After abduction	After abduction	0.389
253	EG1153	EG2580	After abduction	After abduction	0.2376
254	EG1153	EG2559	After abduction	After abduction	0.3228
255	EG1153	EG2473	After abduction	After abduction	0.1768
256	EG1153	EG2392	After abduction	After abduction	0.2304
257	EG1153	EG2391	After abduction	After abduction	0.4174
258	EG1153	EG2018	After abduction	After abduction	0.2856
259	EG1153	EG1990	After abduction	After abduction	0.5088
260	EG1153	EG1940	After abduction	After abduction	0.2026
261	EG1153	EG0118	After abduction	After abduction	0.4534
262	EG1153	EG1939	After abduction	After abduction	0.3172
263	EG1153	EG1892	After abduction	After abduction	0.279
264	EG1153	EG1878	After abduction	After abduction	0.3692
265	EG1153	EG0101	After abduction	After abduction	0.3378
266	EG1153	EG1772	After abduction	After abduction	0.2802
267	EG1153	EG1673	After abduction	After abduction	0.2858
268	EG1153	EG1637	After abduction	After abduction	0.406
269	EG1153	EG1572	After abduction	After abduction	0.3972
270	EG1153	EG1524	After abduction	After abduction	0.469
271	EG1153	EG0088	After abduction	After abduction	0.388
272	EG1153	EG1490	After abduction	After abduction	0.2074
273	EG1153	EG1431	After abduction	After abduction	0.2372
274	EG1153	EG1416	After abduction	After abduction	0.3986
275	EG1153	EG1178	After abduction	After abduction	0.1406
276	EG1041	EG2580	After abduction	After abduction	0.2546
277	EG1041	EG2559	After abduction	After abduction	0.317
278	EG1041	EG2473	After abduction	After abduction	0.1842
