id,(Intercept),Stool_Consistencyliquid,Stool_Consistencysemi-formed
GLYOXYLATE-BYPASS,0.387574833837236,0.5037168828038012,0.48939221075663536
GOLPDLCAT-PWY,0.4773734606539991,0.6172353763157157,0.600028567555138
HCAMHPDEG-PWY,0.5583537049846792,0.7150246826057933,0.7292460821956371
HEME-BIOSYNTHESIS-II,0.3569416511532423,0.40634825965082366,0.46884030892107487
HEMESYN2-PWY,0.2529570803370531,0.3147147146671049,0.342232585983995
HEXITOLDEGSUPER-PWY,0.26889119993012056,0.36077556103118597,0.3942802650483139
HISDEG-PWY,0.2737258469588561,0.3541829345560634,0.4358658259580544
HISTSYN-PWY,0.2431965529129726,0.3314486019450835,0.3231515104744404
HOMOSER-METSYN-PWY,0.18702739906360105,0.24338723682817098,0.2574025586195494
HSERMETANA-PWY,0.2429920328031817,0.2858747570427359,0.3154584700702904
ILEUSYN-PWY,0.1925406043048739,0.27014251330054995,0.266760143754304
KDO-NAGLIPASYN-PWY,0.5307254672751667,0.6722367133215199,0.6777841593943859
KETOGLUCONMET-PWY,0.5374970628414045,0.6689733442321715,0.6759251915264854
LACTOSECAT-PWY,0.3871498891286379,0.517597686954406,0.5373153619008059
LEU-DEG2-PWY,0.5381284603476716,0.7225318878860852,0.6639017209680469
LPSSYN-PWY,0.48044636145323744,0.6491097514008745,0.640084170532957
MET-SAM-PWY,0.1797780829726244,0.23608243891163216,0.25005791203506594
METH-ACETATE-PWY,0.5101960427169048,0.6801954771987967,0.6262622648070156
METHGLYUT-PWY,0.4896327116489884,0.694725963571597,0.6758046972034428
METHYLGALLATE-DEGRADATION-PWY,0.5387766852540163,0.7434428845408121,0.701184291811487
NAD-BIOSYNTHESIS-II,0.4305087709962446,0.5923323691118261,0.6218643443995766
NAGLIPASYN-PWY,0.4026227550686274,0.4577573843127279,0.5829444478446977
NONMEVIPP-PWY,0.23880230944224795,0.33792155817819236,0.32032892770421606
NONOXIPENT-PWY,0.16548918350766334,0.25420472345216827,0.263228339721499
OANTIGEN-PWY,0.22784482917209606,0.31927531512674123,0.34005213687166336
ORNARGDEG-PWY,0.5594955474032441,0.70972892581614,0.7103793128122772
ORNDEG-PWY,0.5997949347778333,0.7503862388016324,0.7450830925233671
P101-PWY,0.5671259088140254,0.7056931900728496,0.66919172989615
P105-PWY,0.40407297512249724,0.5076387780516805,0.5510848520910101
P108-PWY,0.40291628607300656,0.44473757508998896,0.5139309218269438
P122-PWY,0.2540328262791636,0.3745473891989747,0.43365743347857816
P124-PWY,0.28079005137334945,0.4087575436293047,0.4612520168733584
P125-PWY,0.3666864679194959,0.45965531215017413,0.49972523750420095
P161-PWY,0.22552464229060967,0.30482012374249945,0.33206477684097885
P162-PWY,0.5084939790320143,0.6357670807317098,0.6709694262588527
P163-PWY,0.4932058356313448,0.6845650502105496,0.7303993927829706
P164-PWY,0.23792672192245343,0.3732355903754857,0.33877171404844736
P184-PWY,0.5252452453576383,0.7370616724978765,0.690008599791949
P221-PWY,0.4450917740437946,0.6718067132799277,0.6047096099964865
P23-PWY,0.2537110599048848,0.29780154062780134,0.34635720978835105
P261-PWY,0.4477001137607187,0.6395398133352663,0.5993160342242495
P281-PWY,0.46737230224637016,0.6197559679874302,0.5837762136617117
P341-PWY,0.616568379103224,0.8388933731714578,0.8264561592767624
P381-PWY,0.4816098721195957,0.6377822341247695,0.612903184526499
P4-PWY,0.15966186010630432,0.21767736831669268,0.23378229611535253
P42-PWY,0.30466677533735065,0.35992781113271527,0.4031522679655861
P441-PWY,0.2495125482429906,0.3048566727487145,0.39960527232024545
P461-PWY,0.3424459312266855,0.4774451581827818,0.508363961585285
P562-PWY,0.46339360233816046,0.5927659961811064,0.5754409731426914
PANTO-PWY,0.2324482886240358,0.32270334609871865,0.3099873203922968
PANTOSYN-PWY,0.21866672066264442,0.30935635778318277,0.29552370983161375
PENTOSE-P-PWY,0.1814700381395302,0.240847152044823,0.27786181092463863
PEPTIDOGLYCANSYN-PWY,0.220763825727999,0.30641832754961373,0.3189770138983441
PHOSLIPSYN-PWY,0.21585985459074342,0.30143849316283744,0.3117989305101824
POLYAMINSYN3-PWY,0.35942620079991444,0.42005184967656406,0.41267387939956
POLYAMSYN-PWY,0.2775301494053815,0.3315993278613235,0.38177592369614677
POLYISOPRENSYN-PWY,0.24754092537706063,0.3243386965504483,0.36626391573671774
PPGPPMET-PWY,0.5410778984205008,0.6898283013778808,0.6899398491608727
PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY,0.5324340178904681,0.6686559721681075,0.6528204119862401
PRPP-PWY,0.3181080815943902,0.42575288029914676,0.4464726548600732
PWY-1269,0.39921727148072905,0.4468771162705823,0.5627733711265841
PWY-1861,0.31877221063044814,0.4245680023954241,0.48303362754403223
PWY-2941,0.3083021359217875,0.383039985047205,0.4478640919888536
PWY-2942,0.21485083223061988,0.2976368273542928,0.30577595908900324
PWY-3001,0.18964800052251704,0.2687077910425924,0.26748854572864794
PWY-3781,0.6018468731538462,0.7356319701932272,0.714750940603979
PWY-4722,0.4651114667974684,0.6773926272744613,0.675408257311808
PWY-4984,0.3987816826757317,0.4893018016475664,0.5891703036693241
PWY-5005,0.4662609520997282,0.5486916711868606,0.6336915838687075
PWY-5022,0.3934827965012768,0.4411050776998165,0.4851681588273221
PWY-5028,0.5307637441054122,0.6646251586205894,0.6608560422401676
PWY-5097,0.21878332469048775,0.3051929960390359,0.3161380497295113
PWY-5100,0.22721185329147525,0.314347736373926,0.325325827309931
PWY-5101,0.19590877301479123,0.2741901756491869,0.2709910955495063
PWY-5103,0.20331068723232223,0.2836857822686782,0.2783144614285801
PWY-5104,0.20704837000988222,0.30401820518451056,0.2848901180378784
PWY-5121,0.22047024927737383,0.3141711402004315,0.3006167748757486
PWY-5154,0.335366725257174,0.4118296320857409,0.4267572802018454
