metagene,log2foldchange_M,q-value_M
K00371,-0.1056362756545533,1
K00372,-0.0023147191339367,1
K00373,-0.3046181551000204,1
K00374,-0.0995337609467991,1
K00375,-0.0691673746712314,1
K00376,-0.1949231384720899,1
K00380,-0.524594382689551,1
K00381,-0.6286352889680723,1
K00382,-0.2563301285131862,1
K00383,-0.0902971539625008,1
K00384,-0.0076977955413875,1
K00385,0.064542851393238,1
K00389,-0.0755664662922927,1
K00390,-0.4876322221874786,1
K00392,-0.9631847758054258,1
K00394,-0.1361101635275532,1
K00395,-0.1159572392697131,1
K00404,0.220320053347727,1
K00405,0.2201666607760376,1
K00406,0.1773386663253301,1
K00407,0.2214753812230571,1
K00410,-0.2543645259862478,1
K00411,-0.0155591140757225,1
K00412,-0.0165283905748581,1
K00413,0.069886388000851,1
K00425,-0.389700674292208,1
K00426,-0.3025850247573112,1
K00427,0.5213623705517288,1
K00428,-0.5130254193768272,1
K00432,-0.2223169460782218,1
K00433,-0.1368518268927331,1
K00435,0.159558408315946,1
K00446,-0.6348661672933674,1
K00448,-0.5486265962021928,1
K00449,-0.5310667677607164,1
K00450,-0.5962532671891385,1
K00451,-0.799537810141592,1
K00453,-0.7327866345811891,1
K00455,0.7897093569605735,1
K00457,-0.8254544957805106,1
K00459,-0.8099435585238264,1
K00466,-0.1828851191477393,1
K00479,-0.7205669609419584,1
K00480,-0.5306518454254429,1
K00481,-0.8016689323595158,1
K00483,-0.2692508095256773,1
K00484,0.5456185131687289,1
K00491,-0.6322256197260161,1
K00493,-0.1683365664437847,1
K00496,-0.3672748327532454,1
K00499,-0.0664757097917643,1
K00500,-0.0061371649279421,1
K00505,-0.2101862512227374,1
K00507,-0.8361655539992834,1
K00508,0.1314838300797575,1
K00510,-0.4890131127619074,1
K00517,-0.8120736849713174,1
K00518,-0.5280162745112118,1
K00520,-0.2966950172068072,1
K00523,-0.6506434735337588,1
K00525,-0.1637295993102139,1
K00526,-0.1393283323365944,1
K00527,-0.004397203028175,1
K00528,0.5530579649352994,1
K00529,-0.355153526196542,1
K00532,0.073146777851733,1
K00533,0.2277639164475392,1
K00537,0.0400260327150438,1
K00547,-0.6910295573925691,1
K00548,0.2443197800226808,1
K00549,-0.1984595852663996,1
K00554,0.0070060413235551,1
K00556,0.3450706884656726,1
K00557,0.4675869596438371,1
K00558,0.1160631194824126,1
K00560,-0.1128620613821835,1
