,pathway,log2foldchange,q-value
45,GLUCOSE1PMETAB-PWY,-0.6914977870778011,1.0
46,GLUCUROCAT-PWY,-0.7020260761452349,1.0
47,GLUTORN-PWY,-0.6044204360173785,1.0
48,GLYCOCAT-PWY,-1.1592858650521327,5.812099687226824e-05
49,GLYCOGENSYNTH-PWY,-0.8874606820280849,0.5070235768360548
50,GLYCOL-GLYOXDEG-PWY,-0.6494483027719048,1.0
51,GLYCOLYSIS,0.3554221369381334,1.0
52,GLYCOLYSIS-E-D,-0.5970984453570448,1.0
53,GLYCOLYSIS-TCA-GLYOX-BYPASS,-0.5051667226207129,1.0
54,GLYOXYLATE-BYPASS,-0.4539506535875562,1.0
55,GOLPDLCAT-PWY,-1.7982634719158566,0.0267659211426989
56,HCAMHPDEG-PWY,-0.8142373870729377,1.0
57,HEME-BIOSYNTHESIS-II,0.6180936008663778,1.0
58,HEMESYN2-PWY,-0.0473878229400049,1.0
59,HEXITOLDEGSUPER-PWY,0.0384309623046152,1.0
60,HISDEG-PWY,-0.9081046014202424,1.0
61,HISTSYN-PWY,-0.2944238160143874,1.0
62,HOMOSER-METSYN-PWY,-0.0344549969535775,1.0
63,HSERMETANA-PWY,-0.7114205547509324,0.6714334261185246
64,ILEUSYN-PWY,-0.4789544946190888,1.0
65,KDO-NAGLIPASYN-PWY,-1.0465427286696598,1.0
66,KETOGLUCONMET-PWY,-0.5467899589328938,1.0
67,LACTOSECAT-PWY,0.8552110121515626,1.0
68,LEU-DEG2-PWY,-0.5962265773433254,1.0
69,LPSSYN-PWY,-0.0411379442321029,1.0
70,MET-SAM-PWY,-0.0553674569445724,1.0
71,METH-ACETATE-PWY,-3.0537286164602238,1.0048397847186809e-08
72,METHGLYUT-PWY,-0.2256270754262361,1.0
73,METHYLGALLATE-DEGRADATION-PWY,-0.2346337100972831,1.0
74,NAD-BIOSYNTHESIS-II,-2.5197550827220723,2.8378029734620312e-05
75,NAGLIPASYN-PWY,-0.6292510960710379,1.0
76,NONMEVIPP-PWY,-1.4097177054246646,1.8770386541487852e-05
77,NONOXIPENT-PWY,-0.2072254701282012,1.0
78,OANTIGEN-PWY,-0.042566855972412,1.0
79,ORNARGDEG-PWY,-0.735065872778888,1.0
80,ORNDEG-PWY,-0.8756002279421468,1.0
81,P101-PWY,-0.4586097349332659,1.0
82,P105-PWY,-0.9242949548992048,1.0
83,P108-PWY,-0.9969072562176512,1.0
84,P122-PWY,0.0027808935753178,1.0
85,P124-PWY,0.0482773956552347,1.0
86,P125-PWY,-0.1130521740684475,1.0
87,P161-PWY,0.1330919072215942,1.0
88,P162-PWY,-2.325231053187538,0.0019022290871248
89,P163-PWY,-1.049310299524678,1.0
90,P164-PWY,-1.57907536401998,2.2238554413890895e-05
91,P184-PWY,-0.5740879521409431,1.0
92,P221-PWY,-0.9923300483431032,1.0
93,P23-PWY,-0.7761247656877311,0.6524838524003491
94,P261-PWY,-0.4776660284807626,1.0
95,P281-PWY,-0.2554353444597906,1.0
96,P341-PWY,-2.149337607444781,0.2104842047317931
97,P381-PWY,-0.5008274483037946,1.0
98,P4-PWY,-0.960622356722265,4.503129817413381e-05
99,P42-PWY,0.1034953722346767,1.0
100,P441-PWY,-0.8454388571873569,1.0
101,P461-PWY,0.1223692499551638,1.0
102,P562-PWY,-1.1990647577853637,1.0
103,PANTO-PWY,-0.4463580760476829,1.0
104,PANTOSYN-PWY,-0.4134669843828414,1.0
105,PENTOSE-P-PWY,-0.1241674505671616,1.0
106,PEPTIDOGLYCANSYN-PWY,0.1592731445002095,1.0
107,PHOSLIPSYN-PWY,0.1311811193430406,1.0
108,POLYAMINSYN3-PWY,-1.6241083076573957,9.701233022316025e-06
109,POLYAMSYN-PWY,-1.1744075502294091,0.0100514090077808
110,POLYISOPRENSYN-PWY,0.5868725681953217,1.0
111,PPGPPMET-PWY,-0.716871645919623,1.0
112,PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY,-0.6123599953412097,1.0
113,PRPP-PWY,-0.8601307874784597,1.0
114,PWY-1269,-0.6589000413365226,1.0
115,PWY-1861,-0.4897702611098423,1.0
116,PWY-2941,0.2170829819069376,1.0
117,PWY-2942,0.0724734892971126,1.0
118,PWY-3001,-0.3959021064475102,1.0
119,PWY-3781,-0.8762889902880834,1.0
120,PWY-4722,-0.6571754691324742,1.0
121,PWY-4984,-1.3853451418521985,0.374236026485927
122,PWY-5005,-0.0942242998196887,1.0
123,PWY-5022,-0.0025338631526443,1.0
124,PWY-5028,0.4078460243945991,1.0
125,PWY-5097,-0.3971505724802416,1.0
126,PWY-5100,0.0275127652009976,1.0
127,PWY-5101,-0.50468847015745,1.0
128,PWY-5103,-0.4918575039627367,1.0
129,PWY-5104,-1.1281720253345917,0.0008498372850943564
130,PWY-5121,-1.2948331624790943,4.337596252082874e-05
131,PWY-5154,-0.2302342296181033,1.0
132,PWY-5177,-1.3966148299975156,0.1602609751952302
133,PWY-5178,-0.7752754965290324,1.0
134,PWY-5180,-1.7543033747233885,0.0446271721751319
135,PWY-5181,-0.198684750167066,1.0
136,PWY-5182,-1.7543033747233885,0.0446271721751319
137,PWY-5188,-0.7309438420377149,1.0
138,PWY-5189,-0.7034139775879392,1.0
139,PWY-5265,-0.6253283348746542,1.0
140,PWY-5266,-0.7319697733991498,1.0
141,PWY-5273,-0.7319697733991498,1.0
142,PWY-5304,-0.5874194841160848,1.0
143,PWY-5345,0.0354859525292093,1.0
144,PWY-5347,-0.6729223897851241,0.0263823646739073
145,PWY-5384,-1.0395577774348088,1.0
146,PWY-5415,-1.5862116412271874,0.0794536982598423
147,PWY-5417,-0.8597939203424346,1.0
148,PWY-5419,-0.5783258440090954,1.0
149,PWY-5420,-0.631458216175878,1.0
150,PWY-5431,-0.8597939203424346,1.0
151,PWY-5484,0.5311328952331268,1.0
152,PWY-5505,-2.095994385205302,1.149952121276596e-09
153,PWY-5507,-1.070224737132969,1.0
154,PWY-5509,-1.8366857571743536,9.799968751057657e-06
155,PWY-5532,-0.4885604107951543,1.0
156,PWY-5659,-1.0489113542757025,0.0580014533656058
157,PWY-5667,0.1057051359276339,1.0
158,PWY-5676,-2.369860382012606,0.0355547183905479
159,PWY-5677,-2.296524770091672,0.0004348277520554054
160,PWY-5686,0.1408988899951802,1.0
161,PWY-5695,-0.9629031369578612,0.0027519237132174
162,PWY-5705,-2.3041073075956784,4.970931152653202e-07
163,PWY-5747,-0.8855555802807394,1.0
164,PWY-5837,0.8947414393449744,1.0
165,PWY-5838,-0.341773274330397,1.0
166,PWY-5840,0.625083636250541,1.0
167,PWY-5845,-0.9688301347712694,1.0
168,PWY-5850,-0.9688301347712694,1.0
169,PWY-5855,-0.984337881996335,1.0
170,PWY-5856,-0.984337881996335,1.0
171,PWY-5857,-0.984337881996335,1.0
172,PWY-5860,-0.878525906801967,1.0
173,PWY-5861,-0.3123021918565184,1.0
174,PWY-5862,-0.878525906801967,1.0
175,PWY-5863,0.8553602845872763,1.0
176,PWY-5896,-0.9688301347712694,1.0
177,PWY-5897,0.6528719653795202,1.0
178,PWY-5898,0.6528719653795202,1.0
179,PWY-5899,0.6528719653795202,1.0
180,PWY-5910,0.85603251616748,1.0
181,PWY-5913,-0.3733199614492523,1.0
182,PWY-5918,-0.1738530269397336,1.0
183,PWY-5920,-1.0179729296918714,1.0
184,PWY-5971,-0.7903850951222607,1.0
185,PWY-5973,0.1896983987756814,1.0
186,PWY-5989,-0.6331459634885354,1.0
187,PWY-6071,-0.7580466643862737,1.0
188,PWY-6107,0.2034524298856729,1.0
189,PWY-6121,0.1412741067462014,1.0
190,PWY-6122,0.1289103446964493,1.0
191,PWY-6123,0.1483990110000106,1.0
192,PWY-6125,0.563925190096293,1.0
193,PWY-6126,0.1453668404957884,1.0
194,PWY-6147,-0.3496021785925499,1.0
195,PWY-6151,0.1371395879648135,1.0
196,PWY-6163,-0.1741925002041249,1.0
197,PWY-6182,-0.8814539583293745,1.0
198,PWY-6185,-0.3012391678913716,1.0
199,PWY-621,-0.2254987780139862,1.0
200,PWY-6263,-0.6471167691041483,1.0
201,PWY-6269,-1.8427836267356668,9.504057093595692e-06
202,PWY-6277,0.1289103446964493,1.0
203,PWY-6282,-0.6167512380574084,1.0
204,PWY-6317,-0.3292156824951971,1.0
205,PWY-6353,-1.3944184750518611,9.018529468828276e-08
206,PWY-6383,-0.4582737025696505,1.0
207,PWY-6385,0.0116760272331351,1.0
208,PWY-6386,0.0332281098588134,1.0
209,PWY-6387,0.1641360905057327,1.0
210,PWY-6396,0.2754974800812862,1.0
211,PWY-6397,-0.3977954057046143,1.0
212,PWY-6467,-0.66307920931146,1.0
213,PWY-6470,-0.0053332350347087,1.0
214,PWY-6471,-0.1815465302196901,1.0
215,PWY-6478,-1.3704566429403298,0.49062955194273
216,PWY-6507,-0.5289886697378582,1.0
217,PWY-6519,-0.7623921371364567,1.0
218,PWY-6545,-1.677948171885503,0.0002512805718102785
219,PWY-6562,-1.0100569034697124,1.0
220,PWY-6572,-0.8739135150984229,1.0
221,PWY-6588,-1.216610366951845,0.1373808705196425
222,PWY-6590,-1.6567784133050436,0.0003129750709969848
223,PWY-6608,-1.2275265032630274,7.213771862923377e-06
224,PWY-6609,0.1278726915244729,1.0
225,PWY-6612,-0.3286255198060216,1.0
226,PWY-6628,-1.3147363522281943,0.0039497266538122
227,PWY-6629,-0.9190381652982744,1.0
228,PWY-6630,-1.3239614015111631,0.0030436690942999
229,PWY-6690,-0.8142373870729377,1.0
230,PWY-6700,0.6662677503339607,1.0
231,PWY-6703,0.0406863075931798,1.0
232,PWY-6708,-0.984337881996335,1.0
233,PWY-6728,-0.9658163616782636,1.0
234,PWY-6737,-1.11806826766905,0.0006280029338989886
235,PWY-6749,-1.6349355020094445,1.0
236,PWY-6876,-1.0427143094019184,1.0
237,PWY-6891,-0.7838396948902832,1.0
238,PWY-6892,-1.376921704413451,0.00034120192043194736
239,PWY-6895,-0.6656744446582749,1.0
240,PWY-6897,-0.2207281081083983,1.0
241,PWY-6901,-0.3944649434123678,1.0
242,PWY-6906,0.6356327404118619,1.0
243,PWY-6969,0.1207739138092094,1.0
244,PWY-7003,-1.4497704275581258,0.0034284596863634
245,PWY-7007,-0.6061721263097307,1.0
246,PWY-7013,-1.8864391685745088,0.047047576396353
247,PWY-7031,0.7326453283252156,1.0
248,PWY-7090,0.2944972109493598,1.0
249,PWY-7094,-0.7086237390036932,1.0
250,PWY-7111,-0.509545892897557,1.0
251,PWY-7184,0.5260040550152134,1.0
252,PWY-7187,0.3488857743085616,1.0
253,PWY-7196,0.523355663487978,1.0
254,PWY-7197,0.6762158285197167,1.0
255,PWY-7198,-2.396625762226704,0.0016393040562186
256,PWY-7199,0.3131683107284632,1.0
257,PWY-7200,0.5804145755717955,1.0
258,PWY-7208,0.1504056311625512,1.0
259,PWY-7210,-2.372636456470428,0.0024985615098399
260,PWY-7211,-0.9578616184265576,0.0042015091397262
261,PWY-7219,0.1437709742896475,1.0
262,PWY-7220,0.1608900363526432,1.0
263,PWY-7221,0.1573939151957386,1.0
264,PWY-7222,0.1608900363526432,1.0
265,PWY-7228,0.6094168368932417,1.0
266,PWY-7229,0.1425145722434303,1.0
267,PWY-7234,0.6714290030181936,1.0
268,PWY-7237,-0.8516387944401519,1.0
269,PWY-7242,-0.5104358381161355,1.0
270,PWY-7254,0.5199431901023568,1.0
271,PWY-7255,-0.7100775309913984,1.0
272,PWY-7315,-1.9219465043343709,0.0009278025319358792
273,PWY-7323,-1.2451160606872749,0.3979907298650178
274,PWY-7328,-0.8928277120499463,1.0
275,PWY-7332,-2.8893242593972848,0.0025813381243314
276,PWY-7371,-0.3342162087354844,1.0
277,PWY-7373,0.7864308669621403,1.0
278,PWY-7374,-0.1080811877287978,1.0
279,PWY-7376,-0.4638469676568192,1.0
280,PWY-7377,-2.111335195013432,6.106383289647986e-06
281,PWY-7392,-1.1588188055680089,1.325090045267582e-05
282,PWY-7400,-0.4235404183201284,1.0
283,PWY-7431,-1.204501673520281,1.0
284,PWY-7446,-0.8303808076027365,1.0
285,PWY-7456,-1.6019598273056053,0.8332780303378106
286,PWY-7539,-0.3266537647597493,1.0
287,PWY-7560,-1.4097174804973926,1.8770386541487852e-05
288,PWY-7616,-0.6938483294313439,1.0
289,PWY-7663,0.2177549193424649,1.0
290,PWY-7664,-0.6807047554823619,1.0
291,PWY-841,0.4654411681699499,1.0
292,PWY-922,0.97123026701115,1.0
293,PWY0-1061,-0.8027703760737396,1.0
294,PWY0-1241,-0.8191826892122472,1.0
295,PWY0-1261,-0.7852928132193494,1.0
296,PWY0-1277,-0.9824441347403162,1.0
297,PWY0-1296,0.0763938130102068,1.0
298,PWY0-1297,0.129839391953868,1.0
299,PWY0-1298,0.0665889896831813,1.0
300,PWY0-1319,0.1057051359276339,1.0
301,PWY0-1338,-0.7068591914915933,1.0
302,PWY0-1415,-0.928350661403756,1.0
303,PWY0-1479,-1.135524731979603,1.0
304,PWY0-1533,-0.8636506418378048,1.0
305,PWY0-1586,-0.191988806214377,1.0
306,PWY0-162,0.4976316836431531,1.0
307,PWY0-166,0.4206800505606077,1.0
308,PWY0-321,-0.7597292072069689,1.0
309,PWY0-41,-2.016754279774951,0.0019874321975425
310,PWY0-42,-0.7005091459781737,1.0
311,PWY0-781,-0.9200496251004724,0.00011008206380247292
312,PWY0-845,-1.0231488770682686,1.0
313,PWY0-862,-0.2552565852447661,1.0
314,PWY1G-0,-0.4117521045776274,1.0
315,PWY490-3,-2.29451915401326,2.6072349063602747e-05
316,PWY4FS-7,0.1334011684111391,1.0
317,PWY4FS-8,0.1334011684111391,1.0
318,PWYG-321,-0.9464283280737188,1.0
319,PYRIDNUCSAL-PWY,-1.5606417299379434,1.4687135259137796e-06
320,PYRIDNUCSYN-PWY,-1.727660850909913,1.007609032322077e-07
321,PYRIDOXSYN-PWY,-0.9758297426291692,1.0
322,REDCITCYC,-0.2968429461898944,1.0
323,RHAMCAT-PWY,-0.2913150668142822,1.0
324,RIBOSYN2-PWY,-0.1471990377012575,1.0
325,RUMP-PWY,0.0058827603515799,1.0
326,SALVADEHYPOX-PWY,-1.525027800443674,1.1360965572472277e-06
327,SER-GLYSYN-PWY,-0.4460880697615216,1.0
328,SO4ASSIM-PWY,0.6258883512906477,1.0
329,SULFATE-CYS-PWY,0.4272912831442939,1.0
330,TCA,0.3145717035453663,1.0
331,TCA-GLYOX-BYPASS,-0.3371849642157903,1.0
332,TEICHOICACID-PWY,-0.1955215698840539,1.0
333,THISYN-PWY,-1.1651543574289165,0.0177900584323073
334,THREOCAT-PWY,-1.5616025445413446,0.0034850837958721
335,THRESYN-PWY,-0.0487975816128846,1.0
336,TRNA-CHARGING-PWY,-0.8745019820872552,0.0061266494141958
337,TRPSYN-PWY,-0.3285502050154089,1.0
338,TYRFUMCAT-PWY,-0.7118593656482443,1.0
339,UBISYN-PWY,-0.9821305115952588,1.0
340,UDPNAGSYN-PWY,0.4266983374728095,1.0
341,VALSYN-PWY,-0.4789544946190888,1.0
