metagene,log2foldchange_After abduction,q-value_After abduction
EC:1.1.1.38,0.05745466957509,1.0
EC:1.1.1.380,-1.6623558606128297,0.3102816413374068
EC:1.1.1.381,-0.3195907277101688,1.0
EC:1.1.1.385,-0.5381737519824796,1.0
EC:1.1.1.39,0.8817250401082559,1.0
EC:1.1.1.4,-0.145306572852343,1.0
EC:1.1.1.40,-0.7550790966185603,1.0
EC:1.1.1.41,-2.8340437323271983,6.36656563899248e-08
EC:1.1.1.42,-0.491142231205222,1.0
EC:1.1.1.44,0.7840324605306414,1.0
EC:1.1.1.47,1.1079181946867918,1.0
EC:1.1.1.49,1.0331518953281391,1.0
EC:1.1.1.53,-0.6865072206080092,1.0
EC:1.1.1.56,0.8928873262756827,1.0
EC:1.1.1.57,-0.964587633179112,1.0
EC:1.1.1.58,-0.917722266884401,1.0
EC:1.1.1.6,0.002561101622638,1.0
EC:1.1.1.60,-2.1544603824740065,8.875143407986837e-07
EC:1.1.1.61,-1.8356658098660172,0.0486223057155338
EC:1.1.1.67,0.1195312912084193,1.0
EC:1.1.1.69,-1.0247221455087518,1.0
EC:1.1.1.76,0.9456225043143056,1.0
EC:1.1.1.77,-1.1161971863589135,1.0
EC:1.1.1.79,-0.444149189431217,1.0
EC:1.1.1.81,-1.5250797925338446,1.0
EC:1.1.1.83,-1.2187926368585442,1.0
EC:1.1.1.85,-0.4654395565578741,1.0
EC:1.1.1.86,-0.4658537771187523,1.0
EC:1.1.1.88,0.9934600274638052,1.0
EC:1.1.1.90,0.07343688093431,1.0
EC:1.1.1.93,-1.2853078647316485,1.0
EC:1.1.1.94,0.1997393232225588,1.0
EC:1.1.1.95,-0.198008572186413,1.0
EC:1.1.2.3,-0.7069513677596015,1.0
EC:1.1.2.4,-1.858195390785504,1.0
EC:1.1.2.8,-0.5810768743381782,1.0
EC:1.1.3.15,-0.5917540403565327,1.0
EC:1.1.3.21,0.5872959980310827,1.0
EC:1.1.3.41,0.1745798461681815,1.0
EC:1.1.3.45,0.4007207916306782,1.0
EC:1.1.3.46,0.3285461977547358,1.0
EC:1.1.3.6,-0.6720409468780264,1.0
EC:1.1.3.8,0.3551872360863294,1.0
EC:1.1.5.2,-0.5782806119435662,1.0
EC:1.1.5.3,-0.4053620309809536,1.0
EC:1.1.5.4,1.6670136754295477,1.0
EC:1.1.5.6,-0.7257133500763449,1.0
EC:1.1.5.8,0.116754122419466,1.0
EC:1.1.98.2,-0.7504407793571255,1.0
EC:1.1.98.3,-0.2519392849448408,1.0
EC:1.1.99.1,1.3302553742175491,1.0
EC:1.1.99.3,0.8719974707623441,1.0
EC:1.10.2.2,0.224484037993669,1.0
EC:1.10.3.12,2.268863306335247,1.0
EC:1.11.1.1,0.9609538131318708,1.0
EC:1.11.1.10,-1.819874581123464,0.00032746905855187764
EC:1.11.1.15,0.4159048541199858,1.0
EC:1.11.1.19,0.0803385887809169,1.0
EC:1.11.1.21,-0.7889146128764597,1.0
EC:1.11.1.5,-1.126049633332494,1.0
EC:1.11.1.6,0.4650867396642215,1.0
EC:1.11.1.9,0.8855849561921785,1.0
EC:1.11.2.4,0.4449880120695507,1.0
EC:1.12.1.3,-2.120598472632313,0.0177608879588952
EC:1.12.5.1,0.6714356831343169,1.0
EC:1.12.7.2,-2.9230409766408645,6.252404776184335e-07
EC:1.12.99.6,-1.8868118056049017,0.2357830278048074
EC:1.13.11.1,-0.9984340483763924,1.0
EC:1.13.11.11,-0.3297935165971377,1.0
EC:1.13.11.15,0.0900798377749373,1.0
EC:1.13.11.16,-0.890624235413612,1.0
EC:1.13.11.2,1.2894815696395483,1.0
EC:1.13.11.24,-0.512747689764933,1.0
EC:1.13.11.25,-0.7623525704807745,1.0
EC:1.13.11.27,-0.5302254322570097,1.0
EC:1.13.11.3,-0.3614094777115726,1.0
EC:1.13.11.37,0.491886068811418,1.0
EC:1.13.11.4,-1.4588878792353377,1.0
EC:1.13.11.46,0.1202308501103521,1.0
EC:1.13.11.49,0.7317138930897515,1.0
EC:1.13.11.5,-0.5805397020992735,1.0
EC:1.13.11.53,0.3010432135553451,1.0
EC:1.13.11.54,0.3010432135553451,1.0
EC:1.13.11.79,-0.6311186367666859,1.0
EC:1.13.11.8,-0.653901214726283,1.0
EC:1.13.11.9,-0.5645341021995045,1.0
EC:1.13.12.16,-1.1596178586818364,1.0
EC:1.13.12.3,0.5075529299754877,1.0
EC:1.14.11.1,0.5848615731139462,1.0
EC:1.14.11.17,-0.1689413486468375,1.0
EC:1.14.11.33,-0.0303505070708721,1.0
EC:1.14.11.39,0.1519198528032591,1.0
EC:1.14.11.47,-0.6736838571129411,1.0
EC:1.14.12.10,-0.6897528935548878,1.0
EC:1.14.12.17,0.3135911603372855,1.0
EC:1.14.12.19,-0.6179487251477871,1.0
EC:1.14.13.1,-0.6733808503859631,1.0
EC:1.14.13.10,-0.590674813679962,1.0
EC:1.14.13.106,0.402459893552939,1.0
EC:1.14.13.113,0.2432791274175172,1.0
EC:1.14.13.127,-0.4428513314282734,1.0
EC:1.14.13.133,-0.1632276657966126,1.0
EC:1.14.13.141,-1.0554217439423972,1.0
