id,(Intercept),cohortAfter abduction
FUC-RHAMCAT-PWY,0.17086880062768361,0.29240562692522243
FUCCAT-PWY,0.20688885704697105,0.35065819699522977
GALACT-GLUCUROCAT-PWY,0.15489014772458093,0.3358364668903484
GALACTARDEG-PWY,0.2474082448526745,0.43903339535024494
GALACTUROCAT-PWY,0.1567725426019327,0.3437790077413166
GALLATE-DEGRADATION-I-PWY,0.41766320360412046,0.5706271588692153
GALLATE-DEGRADATION-II-PWY,0.41766159507029105,0.5742355234276315
GLCMANNANAUT-PWY,0.1427227890604701,0.26480900034066807
GLUCARDEG-PWY,0.25439574656801145,0.4364549245497313
GLUCARGALACTSUPER-PWY,0.2474082448526745,0.43903339535024494
GLUCONEO-PWY,0.12347143155254524,0.24249236867986548
GLUCOSE1PMETAB-PWY,0.3742873083572228,0.5601167167229765
GLUCUROCAT-PWY,0.15253423879679165,0.36154032862699736
GLUTORN-PWY,0.1291716508591337,0.23868002771999117
GLYCOCAT-PWY,0.13225274082225577,0.22220373702806662
GLYCOGENSYNTH-PWY,0.14068593365641202,0.2848637743782417
GLYCOL-GLYOXDEG-PWY,0.22277923311452819,0.37399617370188915
GLYCOLYSIS,0.1315946649119462,0.24351850304480877
GLYCOLYSIS-E-D,0.16115608488367117,0.3168643849752469
GLYCOLYSIS-TCA-GLYOX-BYPASS,0.2136709235408144,0.38200591121003336
GLYOXYLATE-BYPASS,0.2251664251692973,0.3952868730535116
GOLPDLCAT-PWY,0.30763747879547165,0.4599139802877591
HCAMHPDEG-PWY,0.40299453519692574,0.5675713466215905
HEME-BIOSYNTHESIS-II,0.16658821141844118,0.32100183518240893
HEMESYN2-PWY,0.13552384816895677,0.2603719301640867
HEXITOLDEGSUPER-PWY,0.15774477309376805,0.3130237947800751
HISDEG-PWY,0.21415058263136616,0.3316748109784443
HISTSYN-PWY,0.1393688962089139,0.2670413293713172
HOMOSER-METSYN-PWY,0.12213257075373138,0.1964457811578534
HSERMETANA-PWY,0.12172451984751749,0.23483959499709922
ILEUSYN-PWY,0.12675713562103758,0.22239205587598523
KDO-NAGLIPASYN-PWY,0.3233830716168795,0.5319859716227064
KETOGLUCONMET-PWY,0.3317433721429155,0.5206645270339055
LACTOSECAT-PWY,0.20358220017516582,0.4117043035730148
LEU-DEG2-PWY,0.3954510648042386,0.557578707550092
LPSSYN-PWY,0.35257482070684426,0.5127895757568839
MET-SAM-PWY,0.11892925255525238,0.19137930563008035
METH-ACETATE-PWY,0.22996305364353786,0.45929187363656776
METHGLYUT-PWY,0.40203662226275466,0.5581884311035753
METHYLGALLATE-DEGRADATION-PWY,0.42773214333670023,0.5822823726656037
NAD-BIOSYNTHESIS-II,0.2669425845092621,0.47096476015818584
