id,(Intercept),Stool_Consistencyliquid,Stool_Consistencysemi-formed
K00124,0.46506250685938993,0.5674841826303036,0.5881757474836857
K00127,0.4877481282911708,0.5909849410848406,0.6124649923834213
K00128,0.2903948895714154,0.4063402665142386,0.4213811428586994
K00130,0.42637578998008874,0.5349597907825675,0.5214054039498418
K00131,0.3537020854094713,0.46915253012184344,0.4705020993076056
K00132,0.5471955979493367,0.6811511921386835,0.7251224267397226
K00133,0.24181407214206438,0.35561651088550356,0.35614898865294004
K00134,0.24756848276858961,0.3607869937416144,0.36299959986528624
K00135,0.35168656514046975,0.5280085255165499,0.49386624676185353
K00137,0.5310652834458724,0.6534201090668232,0.6522561782453731
K00138,0.44246540892363523,0.5644102926963922,0.5354114551034097
K00140,0.4509351851682631,0.5619349151648012,0.5576370884344896
K00141,0.5268301492447761,0.657352848512795,0.6344465227670899
K00145,0.2536234523882448,0.35665006194722815,0.3523126702367994
K00146,0.44203703152928764,0.5493838076825348,0.5386715481902017
K00147,0.2548071438968799,0.3652747624880853,0.35316857668391555
K00148,0.5322880213499879,0.6609421594142777,0.6450042257919201
K00151,0.5068685061423063,0.6467880886946298,0.595064982719293
K00153,0.5443979964898388,0.6876543452015201,0.6456097069832469
K00154,0.3455187434472918,0.5414368579752677,0.5102645306801412
K00156,0.3465217770211461,0.41827827819594965,0.4794996341995556
K00158,0.4199687849234124,0.5833601614221848,0.6210718024043679
K00161,0.38322596526560426,0.49524001285785246,0.5197244125011311
K00162,0.38129473225876825,0.4933868230353209,0.5180085650475036
K00163,0.4003586018308854,0.5232816094826999,0.49267974040354673
K00164,0.4502643544706766,0.5397174282324043,0.5989680862771737
K00166,0.5986525227228449,0.7612112621941718,0.8249949202728191
K00167,0.5986525227228449,0.7612112621941718,0.8249949202728191
K00169,0.5766751351346208,0.747344586057403,0.7788060808454318
K00170,0.5360867743846628,0.7111161159816992,0.7827276687585534
K00171,0.5216256219934725,0.6941879086006554,0.7601374856951021
K00172,0.6084599204256937,0.7881452117021568,0.8113646192298501
K00174,0.43618457622241685,0.5278750608311099,0.5572631393155668
K00175,0.4365959092110486,0.5304098938924056,0.5558607826565726
K00176,0.4481778170230416,0.5814127603956712,0.6465432972488137
K00177,0.44198320179847705,0.5809704179833551,0.6430472799533964
K00179,0.4617447707875425,0.6173647280644123,0.6262714141317646
K00180,0.4587120697966716,0.6162204661616701,0.6142317753584982
K00184,0.5541964519374497,0.6889718719384417,0.7355983141524045
K00185,0.5019356087655168,0.6494432662083431,0.693866980845775
K00194,0.5355850480981484,0.7115485594814073,0.6756406425993938
K00196,0.5330846567642664,0.6872208382915925,0.6442620782423242
K00197,0.5355850480981488,0.7115736242886246,0.6747934305712914
K00198,0.4609469642943734,0.5851044630717686,0.5964169820850249
K00208,0.3422098393723403,0.46603038685528453,0.5076629367829202
K00209,0.4780641106051537,0.6659878833838473,0.6266508722310862
K00210,0.7186706373910666,0.8358293457311252,0.9508975266869001
K00215,0.24048176191320483,0.3467116501557474,0.34835736466129585
K00216,0.5094079394869822,0.6123758396491861,0.6234511876889895
K00217,0.29151285342101796,0.46791619273589347,0.4926876456776491
K00219,0.4000916928201475,0.5103865735608063,0.49133208062214434
