metagene,log2foldchange_liquid,log2foldchange_semi-formed,q-value_liquid,q-value_semi-formed
K00050,0.6757451498682994,0.1677507400163931,1.0,1
K00052,0.190802004194962,-0.0677839185945071,1.0,1
K00053,0.1813223263072877,-0.070872323762074,1.0,1
K00054,0.0306077503099954,-0.0178615353500384,1.0,1
K00055,0.152591512519712,0.3545337985312369,1.0,1
K00057,0.0015395525575055,0.0732562905488889,1.0,1
K00058,0.168696103218802,0.0429265359691529,1.0,1
K00059,0.1097925451308172,0.0065299532620587,1.0,1
K00060,-0.5134514986674671,-0.4714203021562006,1.0,1
K00064,1.7440995978829168,0.8658603893690444,1.0,1
K00065,0.3723355819973364,-0.2328569819899041,1.0,1
K00066,1.6847718568482333,1.018676786826175,1.0,1
K00067,0.5589268464853352,0.4856219537246628,1.0,1
K00068,-0.8085485046482833,-0.3755684108206175,1.0,1
K00073,0.4563892282250206,0.1234259309696994,1.0,1
K00074,0.692762505688218,-0.0796691169045319,1.0,1
K00075,0.0154969764559556,0.0670649026200447,1.0,1
K00076,0.9055627409567965,0.4081928781044047,1.0,1
K00077,-0.1749068470512826,0.0323341856948892,1.0,1
K00078,0.4256246834423216,0.1090112634159407,1.0,1
K00082,1.9964302070361664,0.959765384762416,1.0,1
K00086,0.657029612623038,0.5414249574808366,1.0,1
K00087,0.8841102049056677,0.6479739292783668,1.0,1
K00088,0.0552583406720059,0.0509263835278469,1.0,1
K00090,-0.8282293580525985,-0.5232899241224154,1.0,1
K00091,1.3382382330919795,0.6457367958317151,1.0,1
K00094,-0.5644757695348829,0.0799749174533639,1.0,1
K00096,0.8187778729733849,0.6810542173572753,1.0,1
K00097,-0.2148529129526406,0.3140981018562349,1.0,1
K00098,0.4206976476189417,0.2541012131210037,1.0,1
K00099,0.230373350845123,0.2322663159565382,1.0,1
K00100,0.4265069306885374,0.2400913077060746,1.0,1
K00101,0.0544075441941259,-0.4081097598173573,1.0,1
K00102,1.536190911666591,1.343226789302726,1.0,1
K00103,1.7523937230743774,1.0278796785068731,1.0,1
K00104,0.2658086847551446,-0.2186987775677356,1.0,1
K00105,0.0142461901075728,-0.0762095581078194,1.0,1
K00108,-0.4762862622038689,-0.4472982105468455,1.0,1
K00111,-0.059083102419028,-0.1939672200327775,1.0,1
K00112,-1.0377061146343598,-0.2370071508953991,1.0,1
K00113,-1.1103496566038098,-0.3345420268803109,1.0,1
K00114,1.7234322769845627,0.7670571413603937,1.0,1
K00116,-0.9767549384172914,-0.6517726000668531,1.0,1
K00117,-1.060486470523213,-0.6995137883813514,1.0,1
K00121,-0.0864429088932928,-0.2922392418483189,1.0,1
K00123,-0.7901358878516022,-0.732094292466301,1.0,1
K00124,-0.3579523663936194,-0.7968902261342918,1.0,1
K00127,-0.6389468493241427,-0.3710756698134661,1.0,1
K00128,-0.2661453706131584,-0.5071115707023279,1.0,1
K00130,-0.0988601755034309,-0.2599454326524658,1.0,1
K00131,0.7797992943600834,-0.2715940653244833,1.0,1
K00132,-0.139765287156971,-0.6176151347201944,1.0,1
K00133,0.0170773398998145,0.077190052095975,1.0,1
